Name,Brand,SKU,Barcode,Category,CurrentStock,Unit,CostPrice,SellingPrice,ExpiryDate,Aisle,TempZone
Sun-Dried Sea Salt Herbal Hand Wash Neem 750g,Urban Roots Dairy,HOUS-000001,890100156872,Household & Personal Care,74,pack,342.71,528.84,2027-09-23,Aisle 11,ambient
Signature Sea Salt Unsalted White Butter 1kg,Fortune Provisions,DAIR-000002,890100156873,Dairy & Eggs,162,tub,338.09,551.64,2026-09-03,Aisle 02,chilled
Rustic Lemon Pepper Dishwash Gel Lemon 50g,Himalayan Dairy,HOUS-000003,890100156874,Household & Personal Care,249,box,38.33,58.02,2028-01-25,Aisle 12,ambient
Wildcrafted Dishwash Gel Lemon 10kg,Desi Organics Farms,HOUS-000004,890100156875,Household & Personal Care,243,tube,222.40,399.75,2026-08-28,Aisle 12,ambient
Whole-Grain Sea Salt Cheese Croissant 5kg,SunBrite Farms,BAKE-000005,890100156876,Bakery & Deli,205,box,143.18,248.07,2026-08-28,Aisle 04,ambient
Farm-Fresh Sea Salt Chana Dal Polished 10-Pack,Himalayan Organics,PANT-000006,890100156877,Pantry & Dry Goods,177,jar,449.11,644.16,2027-06-28,Aisle 07,ambient
Crisp Clove & Mint Toothpaste 250ml,Bhoomi Kitchens,HOUS-000007,890100156878,Household & Personal Care,242,packet,426.11,724.49,2028-05-31,Aisle 12,ambient
Cold-Pressed Truffle Infused Kaju Katli Sweet Box 8-Pack,Saffola Organics,SNAC-000008,890100156879,Snacks & Confectionery,178,box,65.76,112.36,2026-10-29,Aisle 09,ambient
Handcrafted Diet Mixture Namkeen Family Pack,Everest Goods,SNAC-000009,890100156880,Snacks & Confectionery,98,pack,455.49,708.14,2026-11-24,Aisle 10,ambient
Cold-Pressed Baby Spinach 750g,Heritage Mills,FRES-000010,890100156881,Fresh Produce,170,kg,147.20,249.38,2026-08-29,Aisle 01,ambient
Free-Range Pasture Eggs 50g,Green Earth Agro,DAIR-000011,890100156882,Dairy & Eggs,129,tub,112.09,166.61,2026-09-08,Aisle 02,chilled
Smoked Kesar Pista Roasted Salted Cashews 24-Pack,Satvik Foods,SNAC-000012,890100156883,Snacks & Confectionery,183,box,473.47,778.07,2027-05-17,Aisle 09,ambient
Golden Tonic Water Premium Value Pack,Dabur Farms,BEVE-000013,890100156884,Beverages,24,can,385.93,496.79,2027-02-12,Aisle 06,chilled
Golden Kesar Pista Sparkling Mineral Water 150ml,FarmGold Springs,BEVE-000014,890100156885,Beverages,219,can,351.06,616.89,2026-09-20,Aisle 06,chilled
Traditional Veg Spring Rolls 10kg,Ganga Naturals,FROZ-000015,890100156886,Frozen Foods,25,box,142.39,254.73,2027-07-15,Aisle 09,frozen
Roasted Fresh Rohu Fish 50g,Patanjali Farms,MEAT-000016,890100156887,Meat & Seafood,178,pcs,664.58,1209.82,2026-09-03,Aisle 05,chilled
Artisan Mint Lime Squid Rings Cleaned 1.5L,Fortune Co.,MEAT-000017,890100156888,Meat & Seafood,185,pcs,683.59,1046.19,2026-09-03,Aisle 05,chilled
Artisan Moong Dal Namkeen 5L,Deccan Foods,SNAC-000018,890100156889,Snacks & Confectionery,217,box,467.78,658.96,2026-10-26,Aisle 09,ambient
Gourmet Brioche Burger Buns 250g,Urban Roots Agro,BAKE-000019,890100156890,Bakery & Deli,130,pcs,242.34,330.95,2026-08-30,Aisle 04,ambient
Free-Range Masala Chai Cold Pressed Orange Juice 5L,Fortune Plantations,BEVE-000020,890100156891,Beverages,124,bag,186.93,270.92,2027-06-27,Aisle 06,chilled
Extra-Virgin Wood-Fired Veggie Pizza 200ml,Heritage Organics,FROZ-000021,890100156892,Frozen Foods,89,box,338.04,471.16,2027-01-05,Aisle 09,frozen
Natural Carrots 350g,Saffola Foods,FRES-000022,890100156893,Fresh Produce,97,bunch,72.76,123.09,2026-09-01,Aisle 01,chilled
Royal Soy Milk Protein 500ml,Amul Botanicals,DAIR-000023,890100156894,Dairy & Eggs,138,carton,75.90,137.23,2026-09-26,Aisle 02,chilled
Cured Coconut Cream Cold-Pressed Groundnut Oil 200g,FarmGold Agro,PANT-000024,890100156895,Pantry & Dry Goods,34,box,284.76,502.57,2027-04-21,Aisle 06,ambient
