Name,Brand,SKU,Barcode,Category,CurrentStock,Unit,CostPrice,SellingPrice,ExpiryDate,Aisle,TempZone
Grass-Fed Biodegradable Garbage Bags 200ml,Vedic Fresh Plantations,HOUS-000001,890100655790,Household & Personal Care,115,packet,413.56,598.25,2028-01-02,Aisle 11,ambient
Sweet Tulsi Honey Avocados 10-Pack,Tata Provisions,FRES-000002,890100655791,Fresh Produce,169,bunch,154.85,234.15,2026-09-10,Aisle 02,chilled
Smoked Pears 400g,FarmGold Dairy,FRES-000003,890100655792,Fresh Produce,181,pcs,17.61,24.19,2026-08-29,Aisle 01,ambient
Grass-Fed Apple Cider Vinegar Drink 1kg,Bhoomi Springs,BEVE-000004,890100655793,Beverages,244,box,320.35,534.70,2026-09-26,Aisle 06,chilled
Organic Clove & Mint Toothpaste 2kg,Ganga Plantations,HOUS-000005,890100655794,Household & Personal Care,31,packet,474.81,654.68,2027-12-09,Aisle 12,ambient
Cold-Pressed Penne Rigate Pasta 500ml,FarmGold Agro,PANT-000006,890100655795,Pantry & Dry Goods,38,packet,275.64,457.62,2028-05-05,Aisle 06,ambient
Sweet Bath Tissue 6-Pack 5kg,Nilgiri Kitchens,HOUS-000007,890100655796,Household & Personal Care,200,tube,72.81,117.00,2028-01-25,Aisle 11,ambient
Low-Sodium Mint Lime Seedless Grapes 10-Pack,Saffola Agro,FRES-000008,890100655797,Fresh Produce,155,bunch,37.74,51.99,2026-09-15,Aisle 01,ambient
Desi Gouda Block 5L,Ganga Co.,DAIR-000009,890100655798,Dairy & Eggs,29,pack,432.31,715.74,2026-09-17,Aisle 02,chilled
Smoked Masala Chai Pure Jaggery Powder (Gud) 6-Pack,Tata Mills,PANT-000010,890100655799,Pantry & Dry Goods,177,packet,688.95,1159.45,2027-12-06,Aisle 06,ambient
Cold-Pressed Kesar Pista Spicy Peanut Chikki 24-Pack,Pashmina Organics,SNAC-000011,890100655800,Snacks & Confectionery,248,tub,379.40,608.95,2027-04-16,Aisle 09,ambient
Farm-Fresh Raw Wildflower Honey 4-Pack,Bhoomi Provisions,PANT-000012,890100655801,Pantry & Dry Goods,113,packet,347.53,612.61,2027-06-24,Aisle 07,ambient
Unpolished Tandoori Smoked Garlic Bulbs 750g,Satvik Botanicals,FRES-000013,890100655802,Fresh Produce,207,bunch,25.24,31.94,2026-09-02,Aisle 01,ambient
Wildcrafted Dishwash Gel Lemon 100g,Green Earth Agro,HOUS-000014,890100655803,Household & Personal Care,32,packet,138.32,175.76,2027-11-25,Aisle 11,ambient
Pure Mint Lime Mustard Oil Kachi Ghani 200g,Fortune Harvest,PANT-000015,890100655804,Pantry & Dry Goods,34,bottle,364.66,521.99,2027-05-28,Aisle 06,ambient
Authentic Espresso Roast Ground Coffee 750g,Everest Milling,BEVE-000016,890100655805,Beverages,104,bottle,279.74,379.06,2027-02-22,Aisle 06,chilled
Smoked Hash Browns 6pk 500ml,Pashmina Harvest,FROZ-000017,890100655806,Frozen Foods,228,pack,333.00,444.13,2027-08-16,Aisle 09,frozen
Low-Sodium Penne Rigate Pasta 12-Pack,Vedic Fresh Foods,PANT-000018,890100655807,Pantry & Dry Goods,63,bottle,284.03,430.95,2028-05-08,Aisle 06,ambient
Crisp Jalapeno Lime Floor Disinfectant Pine 400g,Nilgiri Springs,HOUS-000019,890100655808,Household & Personal Care,189,packet,46.00,62.10,2028-05-21,Aisle 12,ambient
Aged Smoked Paprika Pink Himalayan Salt 150g,Desi Organics Botanicals,PANT-000020,890100655809,Pantry & Dry Goods,178,bottle,719.54,1330.42,2028-07-14,Aisle 08,ambient
Stone-Ground Garlic Naan Frozen 4pk 300g,Ganga Foods,FROZ-000021,890100655810,Frozen Foods,156,pack,100.45,178.33,2026-08-20,Aisle 08,frozen
Desi Portobello Mushrooms 200ml,Ganga Harvest,FRES-000022,890100655811,Fresh Produce,139,kg,32.49,42.04,2026-09-08,Aisle 02,chilled
Stone-Ground Multigrain Tortillas 750ml,Nilgiri Plantations,BAKE-000023,890100655812,Bakery & Deli,19,pcs,235.79,311.79,2026-09-02,Aisle 03,ambient
Smoked Cream Cheese 300g,Ganga Organics,DAIR-000024,890100655813,Dairy & Eggs,62,packet,222.75,375.87,2026-09-04,Aisle 02,chilled
Desi Jeera Masala Soda 200ml,Deccan Kitchens,BEVE-000025,890100655814,Beverages,39,bag,270.45,407.26,2026-08-30,Aisle 06,ambient
Homestyle Broccoli Crowns 250ml,Green Earth Provisions,FRES-000026,890100655815,Fresh Produce,175,pcs,133.29,240.14,2026-08-24,Aisle 02,ambient
Whole-Grain Mint Lime Desi Cow Ghee 1L,Royal Indian Botanicals,DAIR-000027,890100655816,Dairy & Eggs,55,bottle,76.00,103.41,2026-08-31,Aisle 03,chilled
Cold-Pressed Nagpur Orange Parmigiano-Reggiano 12-Pack,Kaveri Goods,DAIR-000028,890100655817,Dairy & Eggs,91,packet,417.04,648.42,2026-09-25,Aisle 02,chilled
Gourmet Shampoo Anti-Dandruff Family Pack,Pashmina Goods,HOUS-000029,890100655818,Household & Personal Care,75,bottle,159.17,283.58,2027-08-19,Aisle 12,ambient
Authentic Makhana Crunch California Almonds 5L,Tata Plantations,SNAC-000030,890100655819,Snacks & Confectionery,236,bag,282.01,472.52,2027-05-24,Aisle 10,ambient
Artisan Golden Ginger Catla Fish Steaks 1kg,Satvik Kitchens,MEAT-000031,890100655820,Meat & Seafood,122,pack,738.43,1039.96,2026-09-01,Aisle 04,chilled
Unpolished Hash Browns 6pk 2kg,Vedic Fresh Kitchens,FROZ-000032,890100655821,Frozen Foods,180,pack,139.56,179.12,2027-07-20,Aisle 09,frozen
Spiced Kesar Pista Alphonso Kulfi Tub 350g,Fortune Kitchens,FROZ-000033,890100655822,Frozen Foods,92,tub,369.21,554.25,2027-03-01,Aisle 09,frozen
Organic Oat Milk 1kg,Heritage Organics,DAIR-000034,890100655823,Dairy & Eggs,133,box,373.39,671.37,2026-09-17,Aisle 02,chilled
Wildcrafted Spicy Peanut Chikki 5kg,Everest Springs,SNAC-000035,890100655824,Snacks & Confectionery,79,bar,182.75,238.28,2027-03-07,Aisle 10,ambient
