Name,Brand,SKU,Barcode,Category,CurrentStock,Unit,CostPrice,SellingPrice,ExpiryDate,Aisle,TempZone
Valley Fresh Lassi Mango Infused 750g,Pure Vedic Dairy,DAIR-000001,890100283982,Dairy & Eggs,7,packet,419.64,581.30,2026-08-28,Aisle 03,chilled
Crisp Jalapeno Lime Gouda Block 6-Pack,SunBrite Organics,DAIR-000002,890100283983,Dairy & Eggs,30,carton,270.57,338.98,2026-08-30,Aisle 02,chilled
Sun-Dried Coconut Cream Kabuli Chana Large 150ml,Catch Harvest,PANT-000003,890100283984,Pantry & Dry Goods,175,jar,610.34,1051.69,2027-05-24,Aisle 07,ambient
Cold-Pressed Garlic & Herb Aloo Tikki 8-Pack 2L,Nature Harvest Organics,FROZ-000004,890100283985,Frozen Foods,209,tub,191.32,339.24,2027-07-15,Aisle 09,frozen
Handcrafted Caramelized Onion Fish Fingers Frozen 500g,FarmGold Botanicals,FROZ-000005,890100283986,Frozen Foods,43,box,106.59,157.36,2026-08-20,Aisle 09,frozen
Cold-Pressed Golden Ginger Cheese Croissant 2kg,Green Earth Farms,BAKE-000006,890100283987,Bakery & Deli,152,pack,80.35,114.13,2026-09-07,Aisle 04,chilled
Farm-Fresh Fresh Rohu Fish 2-Pack,Patanjali Kitchens,MEAT-000007,890100283988,Meat & Seafood,65,pack,197.94,355.73,2026-08-30,Aisle 04,chilled
Zero-Sugar Coconut Cream Chicken Drumsticks 500g,Ganga Naturals,MEAT-000008,890100283989,Meat & Seafood,103,pack,238.33,422.90,2026-09-02,Aisle 04,chilled
Homestyle Garlic & Herb Granola Health Bars 10-Pack,Patanjali Provisions,SNAC-000009,890100283990,Snacks & Confectionery,93,box,445.88,574.99,2026-11-19,Aisle 10,ambient
Organic Chaash / Buttermilk 2L,Vedic Fresh Botanicals,DAIR-000010,890100283991,Dairy & Eggs,10,box,427.57,704.57,2026-08-27,Aisle 02,chilled
Cold-Pressed Shampoo Anti-Dandruff 1kg,SunBrite Naturals,HOUS-000011,890100283992,Household & Personal Care,107,bottle,85.75,118.44,2028-10-31,Aisle 11,ambient
Rustic Pomfret Whole 500g,Satvik Farms,MEAT-000012,890100283993,Meat & Seafood,108,pack,659.98,1134.28,2026-08-31,Aisle 04,chilled
Sweet Herbal Hand Wash Neem 300g,Heritage Botanicals,HOUS-000013,890100283994,Household & Personal Care,71,box,286.08,418.56,2027-06-15,Aisle 11,ambient
Zero-Sugar Jalapeno Lime Bamboo Toothbrush 2pk 150g,Everest Milling,HOUS-000014,890100283995,Household & Personal Care,47,bottle,317.07,527.16,2026-08-30,Aisle 12,ambient
Free-Range Rusk Toast Family Pack,Fortune Mills,BAKE-000015,890100283996,Bakery & Deli,52,pcs,54.81,96.55,2026-09-07,Aisle 04,chilled
Rustic Bananas 500ml,Nature Harvest Foods,FRES-000016,890100283997,Fresh Produce,30,kg,136.38,170.97,2026-09-12,Aisle 01,chilled
Country Style Truffle Infused Alphonso Mangoes 150ml,Amul Agro,FRES-000017,890100283998,Fresh Produce,224,bag,40.70,73.90,2026-09-09,Aisle 02,ambient
Handcrafted Rose Infused Buffalo Milk 200ml,Amul Foods,DAIR-000018,890100283999,Dairy & Eggs,72,carton,317.37,429.60,2026-09-12,Aisle 03,chilled
Plant-Based Kachi Ghani Mustard Floor Disinfectant Pine Family Pack,Saffola Mills,HOUS-000019,890100284000,Household & Personal Care,43,box,401.39,696.58,2028-08-31,Aisle 11,ambient
Authentic Raw Wildflower Honey 1L,Dabur Botanicals,PANT-000020,890100284001,Pantry & Dry Goods,65,bag,445.03,587.18,2027-02-17,Aisle 08,ambient
Free-Range Lassi Mango Infused 500ml,Ganga Goods,DAIR-000021,890100284002,Dairy & Eggs,7,tub,315.57,426.53,2026-09-07,Aisle 02,chilled
Grass-Fed Hash Browns 6pk 6-Pack,Himalayan Goods,FROZ-000022,890100284003,Frozen Foods,24,pack,229.89,397.62,2027-04-27,Aisle 08,frozen
Plant-Based Smoked Paprika Dry Fruits Trail Mix 150g,Nature Harvest Naturals,SNAC-000023,890100284004,Snacks & Confectionery,13,box,389.07,634.49,2026-08-25,Aisle 09,ambient
Stone-Ground Squid Rings Cleaned 8-Pack,Amul Springs,MEAT-000024,890100284005,Meat & Seafood,70,pcs,490.75,779.22,2026-08-30,Aisle 05,chilled
Organic Kashmiri Saffron Atlantic Salmon Fillet 150ml,Tata Botanicals,MEAT-000025,890100284006,Meat & Seafood,28,pcs,581.77,901.49,2026-08-23,Aisle 04,chilled
Farm-Fresh Cardamom Spiced Chicken Salami 250ml,Vedic Fresh Springs,BAKE-000026,890100284007,Bakery & Deli,201,pack,178.37,231.98,2026-09-06,Aisle 04,ambient
Organic Chicken Keema 750ml,Nature Harvest Milling,MEAT-000027,890100284008,Meat & Seafood,183,pcs,201.23,302.93,2026-09-03,Aisle 04,chilled
Premium Dark Chocolate Banana Chips Kerala Style 500g,Kaveri Plantations,SNAC-000028,890100284009,Snacks & Confectionery,220,bag,132.92,176.58,2026-11-24,Aisle 10,ambient
Roasted Mishri Mawa 5L,Amul Co.,DAIR-000029,890100284010,Dairy & Eggs,94,bottle,405.69,550.58,2026-09-11,Aisle 03,chilled
Whole-Grain Nimbu Paani Soda 500g,Amul Springs,BEVE-000030,890100284011,Beverages,162,bottle,412.75,692.66,2027-06-19,Aisle 06,chilled
Whole-Grain Frozen Samosas 400g,Mother Dairy Harvest,FROZ-000031,890100284012,Frozen Foods,9,packet,251.39,374.98,2026-10-30,Aisle 09,frozen
