Name,Brand,SKU,Barcode,Category,CurrentStock,Unit,CostPrice,SellingPrice,ExpiryDate,Aisle,TempZone
Grass-Fed Squid Rings Cleaned 8-Pack,Satvik Farms,MEAT-000001,890100638999,Meat & Seafood,46,pcs,745.03,1009.68,2026-09-01,Aisle 04,chilled
Low-Sodium Portobello Mushrooms 200ml,Organic Tattva Milling,FRES-000002,890100639000,Fresh Produce,206,pack,16.72,27.33,2026-08-31,Aisle 01,chilled
Wildcrafted Vanilla Bean Diet Mixture Namkeen 150g,Tata Agro,SNAC-000003,890100639001,Snacks & Confectionery,200,packet,29.39,51.29,2027-05-28,Aisle 10,ambient
Gluten-Free Sea Salt Aloo Tikki 8-Pack 200ml,Urban Roots Mills,FROZ-000004,890100639002,Frozen Foods,146,box,59.50,79.96,2026-08-26,Aisle 09,frozen
Royal Catla Fish Steaks 5L,Amul Kitchens,MEAT-000005,890100639003,Meat & Seafood,191,pack,169.82,302.83,2026-09-02,Aisle 05,chilled
Cold-Pressed Chatpata Masala Biodegradable Garbage Bags 350g,Mother Dairy Milling,HOUS-000006,890100639004,Household & Personal Care,89,packet,560.33,883.34,2028-06-06,Aisle 12,ambient
Smoked Soy Milk Protein 350g,Pashmina Springs,DAIR-000007,890100639005,Dairy & Eggs,110,tub,249.87,340.31,2026-09-02,Aisle 02,chilled
Roasted Rose Infused Avocados 12-Pack,Nature Harvest Co.,FRES-000008,890100639006,Fresh Produce,103,kg,107.89,166.91,2026-09-04,Aisle 02,ambient
Gluten-Free Chicken Sausages Snack Pack,Amul Goods,MEAT-000009,890100639007,Meat & Seafood,136,pack,904.45,1183.84,2026-08-31,Aisle 05,chilled
Signature Alphonso Mango Butter Murukku 400g,Dabur Springs,SNAC-000010,890100639008,Snacks & Confectionery,178,bag,374.10,524.65,2026-08-25,Aisle 09,ambient
Stone-Ground Avocados 250ml,Himalayan Springs,FRES-000011,890100639009,Fresh Produce,212,bag,48.97,75.08,2026-09-14,Aisle 01,chilled
Zero-Sugar Goat Mince Premium Value Pack,Desi Organics Mills,MEAT-000012,890100639010,Meat & Seafood,247,kg,716.15,1000.78,2026-08-29,Aisle 04,chilled
Aged Roasted Salted Cashews 750g,Mother Dairy Harvest,SNAC-000013,890100639011,Snacks & Confectionery,79,tub,209.24,341.76,2027-06-11,Aisle 09,ambient
Natural Red Chilli & Garlic Butter Croissants 330ml,Organic Tattva Organics,BAKE-000014,890100639012,Bakery & Deli,35,pack,253.32,361.03,2026-09-07,Aisle 04,ambient
Select Caramelized Onion Kulcha 4-Pack 400g,Amul Agro,BAKE-000015,890100639013,Bakery & Deli,188,pack,225.71,382.32,2026-09-10,Aisle 03,ambient
Premium Fabric Softener Floral Family Pack,Mother Dairy Springs,HOUS-000016,890100639014,Household & Personal Care,159,packet,107.13,166.62,2027-11-11,Aisle 11,ambient
Low-Sodium Gouda Block 200g,Deccan Kitchens,DAIR-000017,890100639015,Dairy & Eggs,117,pack,437.03,793.75,2026-08-29,Aisle 03,chilled
Crisp Ayurvedic Bath Soap 1L,Dabur Agro,HOUS-000018,890100639016,Household & Personal Care,79,bottle,386.41,495.98,2028-11-05,Aisle 12,ambient
Smoked Makhana Crunch Roasted Salted Cashews 50g,Patanjali Goods,SNAC-000019,890100639017,Snacks & Confectionery,81,bar,249.89,316.85,2027-03-08,Aisle 10,ambient
