Name,Brand,SKU,Barcode,Category,CurrentStock,Unit,CostPrice,SellingPrice,ExpiryDate,Aisle,TempZone
Unpolished Tandoori Smoked Double Toned Milk 10kg,Tata Botanicals,DAIR-000001,890100273762,Dairy & Eggs,157,pack,213.29,294.23,2026-09-10,Aisle 03,chilled
Signature Blueberries 100g,Saffola Kitchens,FRES-000002,890100273763,Fresh Produce,30,bunch,146.94,258.18,2026-09-13,Aisle 01,chilled
Royal Tandoori Smoked Royal Basmati Rice 12-Pack,Satvik Kitchens,PANT-000003,890100273764,Pantry & Dry Goods,99,bag,590.64,944.02,2028-07-07,Aisle 07,ambient
Low-Sodium Masala Chai Chicken Frankfurters 1L,Desi Organics Botanicals,BAKE-000004,890100273765,Bakery & Deli,34,pcs,71.66,97.03,2026-09-02,Aisle 03,ambient
Plant-Based Sea Salt Heavy Cream 5L,Catch Harvest,DAIR-000005,890100273766,Dairy & Eggs,100,packet,173.67,254.88,2026-09-09,Aisle 02,chilled
Handcrafted Bell Peppers 200ml,Bhoomi Farms,FRES-000006,890100273767,Fresh Produce,245,pcs,16.21,22.77,2026-08-30,Aisle 02,chilled
Heritage Coconut Cream Goat Mince Premium 6-Pack,Organic Tattva Provisions,MEAT-000007,890100273768,Meat & Seafood,241,kg,468.94,701.54,2026-08-30,Aisle 04,chilled
Signature Moong Dal Washed 5kg,Organic Tattva Botanicals,PANT-000008,890100273769,Pantry & Dry Goods,238,packet,513.15,858.13,2028-06-18,Aisle 06,ambient
Traditional Toasted Sesame Sparkling Mineral Water 10kg,Vedic Fresh Mills,BEVE-000009,890100273770,Beverages,173,carton,306.15,465.72,2027-05-27,Aisle 05,ambient
Whole-Grain Coconut Cream Brioche Burger Buns 5L,Himalayan Provisions,BAKE-000010,890100273771,Bakery & Deli,27,pcs,153.03,196.49,2026-08-30,Aisle 04,ambient
Low-Sodium Mint Lime Salted Butter 1.5L,Everest Harvest,DAIR-000011,890100273772,Dairy & Eggs,86,pack,180.94,271.11,2026-08-30,Aisle 03,chilled
Signature Red Chilli & Garlic Pasture Eggs 5L,Bhoomi Naturals,DAIR-000012,890100273773,Dairy & Eggs,41,packet,57.91,99.94,2026-09-12,Aisle 02,chilled
Country Style Mint Lime Bananas 2L,SunBrite Farms,FRES-000013,890100273774,Fresh Produce,50,bunch,49.41,86.27,2026-09-10,Aisle 01,chilled
Low-Sodium Tiger Prawns Jumbo 2-Pack,Ganga Foods,MEAT-000014,890100273775,Meat & Seafood,72,pcs,520.84,931.83,2026-08-31,Aisle 05,chilled
Spiced Biodegradable Garbage Bags 330ml,Mother Dairy Farms,HOUS-000015,890100273776,Household & Personal Care,64,box,209.56,280.78,2028-06-18,Aisle 11,ambient
Homestyle Bath Tissue 6-Pack 200ml,Desi Organics Provisions,HOUS-000016,890100273777,Household & Personal Care,209,tube,387.57,576.33,2028-03-27,Aisle 11,ambient
Select Truffle Infused Badam Milk Drink Family Pack,Amul Organics,BEVE-000017,890100273778,Beverages,181,carton,353.69,504.31,2027-03-27,Aisle 05,ambient
Farm-Fresh Smoked Chicken Slices 300g,Satvik Dairy,BAKE-000018,890100273779,Bakery & Deli,90,pcs,188.00,320.58,2026-09-08,Aisle 04,chilled
Traditional Masala Chai Chicken Keema 2-Pack,Royal Indian Harvest,MEAT-000019,890100273780,Meat & Seafood,191,kg,299.16,550.11,2026-09-02,Aisle 04,chilled
Cured Cardamom Spiced Rawa Sooji 5kg,Everest Mills,PANT-000020,890100273781,Pantry & Dry Goods,39,box,585.22,1056.93,2028-04-30,Aisle 08,ambient
Cold-Pressed Kashmiri Saffron Poha Thick Flakes 750ml,Tata Kitchens,PANT-000021,890100273782,Pantry & Dry Goods,17,bottle,184.49,299.90,2027-06-12,Aisle 08,ambient
Free-Range Pita Bread 8-Pack,Heritage Provisions,BAKE-000022,890100273783,Bakery & Deli,190,box,70.13,126.19,2026-08-28,Aisle 03,ambient
Sweet Smoked Paprika Surface Floor Cleaner Rose 2L,Amul Naturals,HOUS-000023,890100273784,Household & Personal Care,201,tube,351.50,445.61,2029-03-27,Aisle 11,ambient
Country Style Matcha Green Tea Chicken Salami 350g,Nilgiri Harvest,BAKE-000024,890100273785,Bakery & Deli,148,pcs,86.28,122.07,2026-09-04,Aisle 04,chilled
Traditional Toasted Sesame Alphonso Kulfi Tub 5L,Green Earth Kitchens,FROZ-000025,890100273786,Frozen Foods,136,tub,380.54,607.99,2027-06-08,Aisle 08,frozen
Heritage Seedless Grapes Value Pack,Organic Tattva Mills,FRES-000026,890100273787,Fresh Produce,90,pack,150.83,207.85,2026-09-04,Aisle 02,ambient
Aged Coconut Cream Frozen Samosas 500ml,Deccan Co.,FROZ-000027,890100273788,Frozen Foods,63,bag,248.85,393.00,2027-04-12,Aisle 09,frozen
Spiced Fresh Mosambi Juice 750ml,Nature Harvest Springs,BEVE-000028,890100273789,Beverages,74,box,80.15,114.60,2027-02-27,Aisle 05,ambient
Grass-Fed Golden Ginger Bamboo Toothbrush 2pk Value Pack,Kaveri Foods,HOUS-000029,890100273790,Household & Personal Care,134,box,400.46,527.21,2027-09-13,Aisle 11,ambient
Gourmet Mutton Chops 10-Pack,Deccan Farms,MEAT-000030,890100273791,Meat & Seafood,191,pcs,843.81,1314.19,2026-08-30,Aisle 04,chilled
Pure Cold-Pressed Groundnut Oil 150g,FarmGold Provisions,PANT-000031,890100273792,Pantry & Dry Goods,68,can,339.45,614.03,2027-08-14,Aisle 06,ambient
Artisan Coconut Cream Gourmet Cookies Choco-Chip 2kg,Vedic Fresh Kitchens,SNAC-000032,890100273793,Snacks & Confectionery,245,packet,467.58,601.28,2026-10-20,Aisle 09,ambient
Homestyle Rawa Sooji 24-Pack,Pure Vedic Provisions,PANT-000033,890100273794,Pantry & Dry Goods,218,bag,515.86,770.63,2028-04-05,Aisle 08,ambient
Spiced Dishwash Gel Lemon 1L,Fortune Agro,HOUS-000034,890100273795,Household & Personal Care,202,pack,525.87,832.54,2029-04-19,Aisle 12,ambient
Desi Fruit Cake Slice 5L,Royal Indian Harvest,BAKE-000035,890100273796,Bakery & Deli,71,pack,288.19,530.42,2026-09-10,Aisle 04,ambient
Spiced Golden Ginger Frozen Paneer Cubes 2-Pack,Pashmina Co.,FROZ-000036,890100273797,Frozen Foods,88,box,138.26,224.71,2026-12-17,Aisle 09,frozen
Gourmet Cardamom Spiced Organic Rolled Oats 5kg,Saffola Mills,PANT-000037,890100273798,Pantry & Dry Goods,198,can,111.24,142.32,2028-01-19,Aisle 08,ambient
Wildcrafted Ginger Kombucha 10kg,Deccan Co.,BEVE-000038,890100273799,Beverages,207,pack,79.62,109.99,2026-12-01,Aisle 06,chilled
Farm-Fresh Smoked Paprika Chicken Drumsticks 500g,Amul Provisions,MEAT-000039,890100273800,Meat & Seafood,204,pcs,729.84,1042.06,2026-08-29,Aisle 05,chilled
Royal Cardamom Spiced Herbal Hand Wash Neem 200ml,Dabur Goods,HOUS-000040,890100273801,Household & Personal Care,211,pack,551.69,750.71,2026-08-30,Aisle 12,ambient
Low-Sodium Chatpata Masala Chana Dal Polished 2kg,Dabur Foods,PANT-000041,890100273802,Pantry & Dry Goods,170,bottle,75.00,122.02,2028-08-03,Aisle 06,ambient
Sun-Dried Chicken Sausages 200g,SunBrite Botanicals,MEAT-000042,890100273803,Meat & Seafood,208,pack,809.29,1339.79,2026-09-01,Aisle 04,chilled
Low-Sodium Tandoori Smoked Ladyfinger (Bhindi) 50g,Nilgiri Dairy,FRES-000043,890100273804,Fresh Produce,102,pack,96.36,132.93,2026-09-15,Aisle 02,chilled
Zero-Sugar Portobello Mushrooms 100g,Vedic Fresh Plantations,FRES-000044,890100273805,Fresh Produce,238,pcs,23.43,35.30,2026-09-12,Aisle 01,chilled
Authentic Alphonso Mangoes 2kg,Fortune Mills,FRES-000045,890100273806,Fresh Produce,197,bag,24.00,30.28,2026-08-30,Aisle 02,ambient
Low-Sodium Nagpur Orange Pomfret Whole 5L,Himalayan Co.,MEAT-000046,890100273807,Meat & Seafood,163,pack,281.16,449.91,2026-09-02,Aisle 05,chilled
Handcrafted Masala CTC Tea 150ml,Nature Harvest Dairy,BEVE-000047,890100273808,Beverages,62,box,287.91,434.94,2027-04-13,Aisle 06,chilled
Wildcrafted Ajwain & Jeera Veg Spring Rolls 5kg,Everest Goods,FROZ-000048,890100273809,Frozen Foods,47,pack,162.70,245.74,2027-08-19,Aisle 09,frozen
Farm-Fresh Pista Almond Frozen Veg Momos 2kg,Bhoomi Farms,FROZ-000049,890100273810,Frozen Foods,12,pack,126.68,190.47,2027-06-29,Aisle 08,frozen
Gluten-Free Bath Tissue 6-Pack 5L,Green Earth Springs,HOUS-000050,890100273811,Household & Personal Care,59,tube,463.36,668.47,2028-09-12,Aisle 11,ambient
Raw Kashmiri Saffron Strawberries 10-Pack,Dabur Foods,FRES-000051,890100273812,Fresh Produce,29,pcs,18.39,28.83,2026-09-10,Aisle 02,ambient
Country Style Moong Dal Washed 2kg,Urban Roots Kitchens,PANT-000052,890100273813,Pantry & Dry Goods,249,jar,281.44,358.41,2027-12-24,Aisle 08,ambient
