Name,Brand,SKU,Barcode,Category,CurrentStock,Unit,CostPrice,SellingPrice,ExpiryDate,Aisle,TempZone
Gourmet Rawa Sooji 12-Pack,Tata Organics,PANT-000001,890100301227,Pantry & Dry Goods,102,can,183.86,256.88,2026-08-28,Aisle 07,ambient
Unpolished Cold-Pressed Groundnut Oil 500ml,Heritage Naturals,PANT-000002,890100301228,Pantry & Dry Goods,134,bottle,125.46,192.63,2026-08-27,Aisle 06,ambient
Royal Cold Pressed Orange Juice 400g,Organic Tattva Organics,BEVE-000003,890100301229,Beverages,14,box,344.71,542.60,2027-02-23,Aisle 06,ambient
Cured Frozen Veg Momos 750ml,Dabur Springs,FROZ-000004,890100301230,Frozen Foods,141,packet,214.21,361.70,2027-05-02,Aisle 09,frozen
Unpolished Pav 6-Pack 400g,SunBrite Milling,BAKE-000005,890100301231,Bakery & Deli,11,pack,144.24,256.14,2026-09-01,Aisle 04,chilled
Cold-Pressed Goat Mince Premium 5kg,Vedic Fresh Goods,MEAT-000006,890100301232,Meat & Seafood,106,kg,559.61,931.86,2026-09-01,Aisle 05,chilled
Organic Surmai Steaks 200ml,Kaveri Springs,MEAT-000007,890100301233,Meat & Seafood,115,pcs,779.13,1093.54,2026-08-31,Aisle 04,chilled
Cured Kesar Pista Strawberries 2kg,Organic Tattva Naturals,FRES-000008,890100301234,Fresh Produce,113,pack,128.34,195.38,2026-08-30,Aisle 02,ambient
Grass-Fed Makhana Crunch Sona Masoori Rice 5L,Bhoomi Dairy,PANT-000009,890100301235,Pantry & Dry Goods,158,can,278.28,374.38,2028-02-21,Aisle 08,ambient
Aged Mint Lime Veg Burger Patties 2-Pack,Urban Roots Springs,FROZ-000010,890100301236,Frozen Foods,127,box,374.24,684.40,2027-08-16,Aisle 09,frozen
Traditional Cream Cheese 200ml,Himalayan Botanicals,DAIR-000011,890100301237,Dairy & Eggs,217,carton,153.26,214.87,2026-09-15,Aisle 03,chilled
Signature Pasture Eggs 200ml,SunBrite Dairy,DAIR-000012,890100301238,Dairy & Eggs,194,carton,322.73,474.88,2026-09-14,Aisle 03,chilled
Roasted Chatpata Masala Roma Tomatoes 12-Pack,Deccan Provisions,FRES-000013,890100301239,Fresh Produce,82,kg,86.07,137.20,2026-09-10,Aisle 01,chilled
Valley Fresh Golden Ginger Clove & Mint Toothpaste 400g,Himalayan Co.,HOUS-000014,890100301240,Household & Personal Care,240,box,280.69,504.79,2027-10-24,Aisle 12,ambient
Handcrafted Frozen Green Peas 1kg,Saffola Provisions,FROZ-000015,890100301241,Frozen Foods,192,box,260.65,392.29,2026-11-26,Aisle 08,frozen
Stone-Ground Garlic Naan Frozen 4pk 2L,Pashmina Co.,FROZ-000016,890100301242,Frozen Foods,139,packet,282.57,433.39,2027-07-05,Aisle 09,frozen
Select Bell Peppers 330ml,Green Earth Plantations,FRES-000017,890100301243,Fresh Produce,219,bunch,56.13,93.01,2026-09-07,Aisle 02,ambient
Valley Fresh Toasted Sesame Cold Brew Coffee 5kg,Saffola Kitchens,BEVE-000018,890100301244,Beverages,22,pack,147.39,188.90,2027-04-15,Aisle 06,chilled
Handcrafted Caramelized Onion Cold-Pressed Groundnut Oil Family Pack,Heritage Organics,PANT-000019,890100301245,Pantry & Dry Goods,195,can,632.24,965.33,2028-03-22,Aisle 08,ambient
Natural Chicken Keema 500g,Vedic Fresh Springs,MEAT-000020,890100301246,Meat & Seafood,246,pcs,157.85,205.39,2026-08-30,Aisle 05,chilled
Cold-Pressed Masala CTC Tea 10-Pack,Tata Foods,BEVE-000021,890100301247,Beverages,138,carton,237.74,423.43,2027-06-22,Aisle 06,chilled
Handcrafted Cinnamon Spice Kitchen Paper Towels 4-Roll 400g,SunBrite Dairy,HOUS-000022,890100301248,Household & Personal Care,168,pack,597.76,973.67,2027-07-09,Aisle 11,ambient
Organic Smoked Paprika Toned Milk 2kg,Mother Dairy Plantations,DAIR-000023,890100301249,Dairy & Eggs,100,tub,95.19,128.02,2026-09-15,Aisle 02,chilled
Low-Sodium Roasted Makhana Foxnuts 1.5L,Nilgiri Provisions,SNAC-000024,890100301250,Snacks & Confectionery,57,tub,98.27,174.96,2026-12-07,Aisle 10,ambient
Zero-Sugar Pista Almond Dishwash Gel Lemon Snack Pack,Pashmina Plantations,HOUS-000025,890100301251,Household & Personal Care,45,bottle,166.18,284.10,2026-08-21,Aisle 12,ambient
Golden Ajwain & Jeera Fresh Rohu Fish 2L,Pashmina Milling,MEAT-000026,890100301252,Meat & Seafood,207,pack,930.01,1185.17,2026-08-29,Aisle 04,chilled
Raw Cardamom Spiced Mutton Chops 750ml,Amul Agro,MEAT-000027,890100301253,Meat & Seafood,79,kg,672.82,948.38,2026-09-03,Aisle 04,chilled
Grass-Fed Flavored Yogurt 5kg,Royal Indian Organics,DAIR-000028,890100301254,Dairy & Eggs,199,tub,315.35,537.82,2026-09-25,Aisle 03,chilled
Zero-Sugar Stainless Steel Scrubber 3pk 500g,Tata Naturals,HOUS-000029,890100301255,Household & Personal Care,181,tube,496.42,743.32,2027-04-25,Aisle 11,ambient
Pure Truffle Infused Masala Potato Chips 1.5L,Tata Co.,SNAC-000030,890100301256,Snacks & Confectionery,206,pack,270.74,437.48,2027-01-04,Aisle 10,ambient
Stone-Ground Smoked Paprika Stainless Steel Scrubber 3pk 250ml,Tata Harvest,HOUS-000031,890100301257,Household & Personal Care,102,pack,387.45,643.38,2029-03-12,Aisle 12,ambient
Organic Fabric Softener Floral 500ml,Green Earth Co.,HOUS-000032,890100301258,Household & Personal Care,64,bottle,124.14,229.47,2027-08-11,Aisle 11,ambient
Heritage Chatpata Masala Biodegradable Garbage Bags 10-Pack,FarmGold Foods,HOUS-000033,890100301259,Household & Personal Care,154,bottle,218.17,322.67,2027-12-22,Aisle 12,ambient
Desi Coconut Cream Royal Basmati Rice 330ml,Fortune Naturals,PANT-000034,890100301260,Pantry & Dry Goods,23,bag,518.55,793.18,2028-05-08,Aisle 06,ambient
Roasted Cold Pressed Orange Juice 150g,Deccan Foods,BEVE-000035,890100301261,Beverages,240,pack,398.30,621.99,2026-11-19,Aisle 05,chilled
Grass-Fed Dark Chocolate Soy Milk Protein 6-Pack,SunBrite Plantations,DAIR-000036,890100301262,Dairy & Eggs,161,tub,50.28,87.80,2026-09-06,Aisle 03,chilled
Wildcrafted Vanilla Bean Organic Brown Sugar 150g,Everest Dairy,PANT-000037,890100301263,Pantry & Dry Goods,90,can,519.69,953.19,2027-08-28,Aisle 07,ambient
Signature Dark Chocolate Garlic Bulbs 100g,Deccan Provisions,FRES-000038,890100301264,Fresh Produce,70,pack,59.69,103.75,2026-08-30,Aisle 01,chilled
Unpolished Cardamom Spiced Roma Tomatoes 1L,Nilgiri Farms,FRES-000039,890100301265,Fresh Produce,221,pcs,86.98,115.70,2026-09-15,Aisle 01,ambient
Signature Masala Chai Custard Apple (Sitaphal) 330ml,Heritage Foods,FRES-000040,890100301266,Fresh Produce,123,pack,55.67,86.46,2026-09-12,Aisle 01,ambient
Aged Alphonso Mango Fresh Chicken Curry Cut 150ml,Ganga Agro,MEAT-000041,890100301267,Meat & Seafood,22,pcs,466.79,604.57,2026-08-30,Aisle 05,chilled
Heritage Makhana Crunch Sourdough Loaf 2-Pack,Heritage Goods,BAKE-000042,890100301268,Bakery & Deli,61,pack,241.76,397.60,2026-08-30,Aisle 03,ambient
Unpolished Cardamom Spiced Frozen Green Peas 8-Pack,Nilgiri Goods,FROZ-000043,890100301269,Frozen Foods,128,box,268.71,459.87,2027-04-29,Aisle 08,frozen
Rustic Smoked Chicken Slices 5kg,Kaveri Harvest,BAKE-000044,890100301270,Bakery & Deli,81,pcs,231.53,363.11,2026-08-30,Aisle 03,chilled
Valley Fresh Ajwain & Jeera Cinnamon Swirl Buns 330ml,Tata Botanicals,BAKE-000045,890100301271,Bakery & Deli,78,box,314.85,455.71,2026-09-09,Aisle 03,chilled
Desi Basa Fish Fillets 50g,Saffola Plantations,MEAT-000046,890100301272,Meat & Seafood,182,kg,928.15,1515.41,2026-08-28,Aisle 04,chilled
Free-Range Toasted Sesame Clove & Mint Toothpaste 750g,Everest Dairy,HOUS-000047,890100301273,Household & Personal Care,95,packet,374.34,592.37,2028-01-21,Aisle 11,ambient
Crisp Cinnamon Spice Diet Mixture Namkeen 2kg,Desi Organics Mills,SNAC-000048,890100301274,Snacks & Confectionery,74,box,44.63,56.03,2026-08-26,Aisle 10,ambient
Spiced Matcha Green Tea Amla Juice Pure 10kg,Tata Milling,BEVE-000049,890100301275,Beverages,124,carton,123.42,157.80,2027-05-31,Aisle 05,chilled
Handcrafted Squid Rings Cleaned 2L,Kaveri Plantations,MEAT-000050,890100301276,Meat & Seafood,238,pcs,338.06,577.75,2026-08-31,Aisle 05,chilled
Unpolished Bananas 150g,Pure Vedic Organics,FRES-000051,890100301277,Fresh Produce,200,bunch,118.37,187.86,2026-08-29,Aisle 02,chilled
Valley Fresh Espresso Roast Ground Coffee 150ml,Dabur Agro,BEVE-000052,890100301278,Beverages,10,box,85.82,129.67,2026-10-10,Aisle 06,chilled
Aged Pure Jaggery Powder (Gud) 200ml,Himalayan Co.,PANT-000053,890100301279,Pantry & Dry Goods,17,bottle,555.93,737.14,2028-04-08,Aisle 08,ambient
Free-Range Red Chilli & Garlic Organic Brown Sugar Value Pack,Pure Vedic Farms,PANT-000054,890100301280,Pantry & Dry Goods,37,bag,438.32,704.22,2027-12-05,Aisle 07,ambient
Homestyle 70% Dark Chocolate Bar 1kg,Patanjali Milling,SNAC-000055,890100301281,Snacks & Confectionery,245,box,303.50,556.00,2027-01-17,Aisle 10,ambient
Farm-Fresh Cinnamon Spice Whole Wheat Atta Bread 200g,Desi Organics Mills,BAKE-000056,890100301282,Bakery & Deli,140,pcs,143.42,194.05,2026-08-29,Aisle 04,chilled
Aged Smoked Paprika Boneless Chicken Breast Value Pack,Everest Springs,MEAT-000057,890100301283,Meat & Seafood,214,pack,820.97,1077.41,2026-09-03,Aisle 04,chilled
Farm-Fresh Jalapeno Lime Roasted Makhana Foxnuts 12-Pack,SunBrite Milling,SNAC-000058,890100301284,Snacks & Confectionery,250,packet,31.22,39.80,2026-11-18,Aisle 09,ambient
Spiced Aloo Tikki 8-Pack 1.5L,Himalayan Co.,FROZ-000059,890100301285,Frozen Foods,114,bag,93.76,163.03,2026-11-12,Aisle 08,frozen
Royal Masala CTC Tea Value Pack,Green Earth Agro,BEVE-000060,890100301286,Beverages,29,box,396.88,680.40,2026-09-28,Aisle 05,chilled
Cold-Pressed Truffle Infused Cheese Croissant 200ml,Desi Organics Naturals,BAKE-000061,890100301287,Bakery & Deli,27,pcs,183.39,314.54,2026-09-08,Aisle 03,ambient
Cured Chicken Keema 400g,Himalayan Springs,MEAT-000062,890100301288,Meat & Seafood,65,pack,689.04,869.08,2026-08-28,Aisle 05,chilled
Artisan Paneer Tikka Deli 150ml,Urban Roots Harvest,BAKE-000063,890100301289,Bakery & Deli,45,pack,186.49,300.23,2026-08-28,Aisle 03,ambient
Roasted Cold-Pressed Groundnut Oil 6-Pack,Tata Milling,PANT-000064,890100301290,Pantry & Dry Goods,154,can,675.57,913.63,2027-05-16,Aisle 08,ambient
